Old_name,New_name
Abington,Abington
ANGOLA IN,Angola
ATL,Atlanta
AUSTIN TEXAS,Austin
AVON PARK FLORIDA,Avon Park
Baltimore City,Baltimore
BATTLE  CREEK,Battle Creek
Bensalem,Bensalem
Beverly Hills California,Beverly Hills
Billings MT,Billings
Birmingham Alabama,Birmingham
Bossier,Bossier City
Boston MA,Boston
Bostons,Boston
BRAINERD MINNESOTA,Brainerd
Brattleboro,Brattleboro
BRICKTOWN,Oklahoma City
Brooklyn NY,New York
BUENA PARK CALIFORNIA ORANGE COUNTY,Buena Park
Buffalo New York,Buffalo
BUFFALO NY,Buffalo
BURLINGTON NORTH CAROLINA,Burlington
CALIFORNIA HOLLYWOOD,Hollywood
Camden NJ,Camden
Canoga Park,Los Angeles
CANTON OHIO,Canton
Catskill,Catskill
CHARLESTON SOUTH CAROLINA,Charleston
CHARLOTTE NC,Charlotte
CHARLOTTE NORTH CAROLINA,Charlotte
CHATTANOOGA TN,Chattanooga
CHEYENNE WY,Cheyenne
CHI,Chicago
CHICAGO ILLINOIS,Chicago
CHICAGO RIDGE ILLINOIS,Chicago Ridge
CINCINATTI,Cincinnati
CLEAR LAKE. IA,Clear Lake
CLEVELAND OHIO,Cleveland
CLEVELAND OHIO CITY,Cleveland
CLINTON TOWNSHIP,Clinton
Colonie,Colonie
Colorado Spring,Colorado Springs
COLORADO SPRING COLORADO SPRINGS,Colorado Springs
COLUMBIA SC,Columbia
Columbus Ohio,Columbus
DALLAS 75060,Dallas
DALLAS 75202,Dallas
DALLAS 75204,Dallas
DALLAS 75216,Dallas
DALLAS 75220,Dallas
DALLAS 75243,Dallas
DAYTON OHIO,Dayton
DC,Washington
DENVER COLORADO,Denver
Denville,Denville
DePere,De Pere
Detroit MI,Detroit
DETROIT MICHIGAN,Detroit
DIAMOND BAR CALIFORNIA,Diamond Bar
DSM,Des Moines
ERIE PA,Erie
EUGENE OREGON,Eugene
EVERETT WASHINGTON,Everett
Far Rockaway,New York
FINDLEY LAKE,Findley Lake
FINKSBURG,Finksburg
FLINT MICHIGAN,Flint
FLORENCE KENTUCKY,Florence
FORT  LAUDERDALE,Fort Lauderdale
FORT MYERS FL,Fort Myers
Fort Wayne Indiana,Fort Wayne
FORT WORTH TEXAS,Fort Worth
Fort Worth TX,Fort Worth
FRESNO CALIFORNIA,Fresno
FRESNO CALIFORNIA CITY,Fresno
Ft Collins,Fort Collins
Ft Myers,Fort Myers
FT PIERCE,Fort Pierce
FT LAUDERDALE,Fort Lauderdale
Ft. Lauderdale,Fort Lauderdale
Ft. Lauderdale,Fort Lauderdale
FT. MYERS,Fort Myers
GREENBANK,Greenbank
GREEN BAY WISCONSIN,Gren Bay
GREENSBORO NC,Greensboro
GREENWELL SPRINGS,Greenwell Springs
GREENWOOD SOUTH CAROLINA,Greenwood
HAGERSTOWN MD,Hagerstown
HARRISBURG PA,Harrisburg
HAVERSTRAW,Haverstraw
Holywood Florida,Hollywood
HOLLYWOOD FLORIDA,Hollywood
Houston Texas,Houston
HOUSTON TX,Houston
Hubert,Hubert
INDEPENDENCE MISSOURI,Independence
INDIANAPOLIS INDIANA,Indianapolis
Irvine CA,Irvine
Islip,Islip
JACKSON MS,Jackson
JACKSON TN,Jackson
JACKSONVILLE FL,Jacksonville
JACKSONVILLE FLORIDA,Jacksonville
Jamaica Queens,New York
JAX,Jacksonville
JEFFERSONVILLE INDIANA,Jeffersonville
JONESBORO ARKANSAS,Jonesboro
Juno,Juneau
KALAMAZOO OF,Kalamazoo
Kansas City Kansas City,Kansas City
KANSAS CITY KANSAS CITY KANSAS CITY,Kansas City
KANSAS CITY MISSOURI,Kansas City
KNOXVILLE TN,Knoxville
Kona,Kailua-Kona
L A,Los Angeles
LA,Los Angeles
La Vegas,Las Vegas
LANCASTER CALIFORNIA,Lancaster
Lancaster PA,Lancaster
Land O Lakes,Land O' Lakes
LAS,Las Vegas
Las  Vegas,Las Vegas
LAS. VEGAS,Las Vegas
Lasa Vegas,Las Vegas
LEAVENWORTH KANSAS CITY KANSAS CITY,Kansas City
LEXINGTON KENTUCKY,Lexington
LITTLE  ROCK,Little Rock
LITTLE ROCK ARKANSAS,Little Rock
